playerName,total_goals,matches,latest_match,home_goals,away_goals,own_goals,penalty_goals
Adolfo Zumelzú,4,2,1930-07-19,4,0,0,0
Mario Evaristo,3,3,1930-07-22,3,0,0,0
Lorenzo Fernández,3,1,1929-11-11,0,3,0,0
José Leandro Andrade,1,1,1929-11-11,0,1,0,0
Agustín Lizarbe,1,1,1929-11-11,1,0,0,0
Lino Nessi,1,1,1929-11-16,1,0,0,0
Bart McGhee,1,1,1930-07-13,0,1,0,0
Tom Florie,1,1,1930-07-13,0,1,0,0
Bert Patenaude,4,2,1930-07-17,0,4,0,0
Lucien Laurent,1,1,1930-07-13,1,0,0,0
Marcel Langiller,1,1,1930-07-13,1,0,0,0
André Maschinot,2,1,1930-07-13,2,0,0,0
Aleksandar Tirnanić,1,1,1930-07-14,0,1,0,0
Ivan Bek,3,2,1930-07-17,0,3,0,0
Preguinho,3,2,1930-07-20,1,2,0,0
Adalbert Deşu,1,1,1930-07-14,0,1,0,0
Luis de Souza,1,1,1930-07-14,1,0,0,0
Constantin Stanciu,1,1,1930-07-14,0,1,0,0
Miklós Kovács,1,1,1930-07-14,0,1,0,0
Carlos Vidal,2,1,1930-07-16,2,0,0,0
Manuel Rosas,3,2,1930-07-19,1,2,1,1
Blagoje Marjanović,3,3,1938-04-03,2,1,0,0
Đorđe Vujadinović,2,2,1930-07-27,0,2,0,0
Guillermo Stábile,8,4,1930-07-30,7,1,0,0
Francisco Varallo,4,3,1937-01-23,4,0,0,0
Roberto Gayón,1,1,1930-07-19,0,1,0,0
Moderato Wisintainer,2,1,1930-07-20,0,2,0,0
Pablo Dorado,2,2,1930-07-30,2,0,0,0
Peregrino Anselmo,3,2,1930-07-27,3,0,0,0
Alejandro Scopelli,3,2,1937-01-09,3,0,0,0
Jim Brown,1,1,1930-07-26,0,1,0,0
Santos Iriarte,2,2,1930-07-30,2,0,0,0
Friedrich Karm,4,3,1931-09-01,2,2,0,0
Jaroslavas Citavičius,4,4,1933-09-02,3,1,0,0
Antanas Lingis,6,6,1935-08-21,4,2,0,0
Ēriks Pētersons,9,6,1935-08-22,3,6,0,0
Voldemārs Žins,1,1,1930-08-16,1,0,0,0
Fricis Dambrēvics,1,1,1930-08-16,1,0,0,0
Leonhard Kass,3,3,1938-09-05,2,1,0,0
Jānis Škincs,1,1,1931-09-01,0,1,0,0
Alberts Šeibelis,5,5,1936-08-31,4,1,0,0
Hermanis Jēnihs,1,1,1932-08-28,1,0,0,0
Roman Mõtlik,1,1,1932-08-29,1,0,0,0
Eduardas Čižauskas,1,1,1932-08-29,0,1,0,0
Knut Kroon,2,2,1934-05-27,1,1,0,0
Lennart Bunke,4,3,1937-06-20,4,0,0,0
Bertil Ericsson,2,1,1933-06-11,2,0,0,0
Torsten Bunke,1,1,1933-06-11,1,0,0,0
Richard Kuremaa,5,5,1937-09-04,1,4,0,0
Sven Andersson,1,1,1933-06-11,1,0,0,0
Knut Hansson,2,1,1933-06-29,0,2,0,0
Zigmas Sabaliauskas,1,1,1933-09-04,1,0,0,0
Vladimir Kragić,2,2,1934-04-29,1,1,0,0
Alessandro Frigerio,1,1,1933-09-24,0,1,0,0
Willy Jäggi,2,2,1934-05-31,0,2,0,0
Josef Silný,1,1,1933-10-15,0,1,0,0
Henryk Martyna,1,1,1933-10-15,1,0,0,0
František Pelcner,1,1,1933-10-15,0,1,0,0
Grațian Sepi,1,1,1933-10-29,0,1,0,0
Ștefan Dobay,5,5,1938-06-09,1,4,0,0
Ernst Hufschmid,1,1,1933-10-29,1,0,0,0
Erwin Hochsträsser,1,1,1933-10-29,1,0,0,1
Mario López,7,5,1934-03-18,0,7,0,1
Héctor Socorro,5,4,1938-06-09,3,2,0,0
Ángel Martínez,1,1,1934-01-28,0,1,0,0
Robert St. Fort,2,2,1934-02-01,2,0,0,2
Francisco Socorro,1,1,1934-02-04,0,1,0,0
Enrique Ferrer,1,1,1934-02-04,0,1,0,0
Salvador Soto,1,1,1934-02-04,0,1,0,0
Jean Capelle,1,1,1934-02-25,0,1,0,0
Paddy Moore,5,2,1934-04-08,4,1,0,0
Stan Vanden Eynde,1,1,1934-02-25,0,1,0,0
François Vanden Eynde,2,1,1934-02-25,0,2,0,0
Dionisio Mejía,7,3,1934-05-24,7,0,0,0
Josef Rasselnberg,4,1,1934-03-11,0,4,0,0
Willi Wigold,1,1,1934-03-11,0,1,0,0
Ernst Albrecht,1,1,1934-03-11,0,1,0,0
Ernest Mengel,1,1,1934-03-11,1,0,0,0
Karl Hohmann,5,2,1934-05-31,2,3,0,0
Jorge Sota,1,1,1934-03-11,1,0,0,0
Felipe Rosas,1,1,1934-03-11,1,0,0,0
Eduardo González Valiño,1,1,1934-03-11,1,0,0,0
Isidro Lángara,8,3,1934-05-27,5,3,0,1
Martí Ventolrà,1,1,1934-03-11,1,0,0,0
Mostafa Taha,2,1,1934-03-16,2,0,0,0
Mohamed Latif,3,2,1934-04-06,2,1,0,0
Avraham Nudelmann,1,1,1934-03-16,0,1,0,0
Manuel Alonso,3,2,1934-05-24,3,0,0,0
José Ruvalcaba,1,1,1934-03-18,1,0,0,0
Fernando Marcos,1,1,1934-03-18,1,0,0,0
Dimitar Baikushev,1,1,1934-03-25,1,0,0,0
György Sárosi,7,6,1938-06-19,5,2,0,1
Gábor P. Szabó,3,2,1934-04-29,2,1,0,1
Géza Toldi,4,3,1938-06-05,1,3,0,0
Imre Markos,1,1,1934-03-25,0,1,0,0
Anfilogino Guarisi,1,1,1934-03-25,1,0,0,0
Giuseppe Meazza,5,4,1938-06-16,4,1,0,1
Giovanni Ferrari,3,3,1934-05-31,3,0,0,0
Abdulrahman Fawzi,3,2,1934-05-27,2,1,0,0
Yohanan Sukenik,1,1,1934-04-06,1,0,0,0
Kick Smit,5,4,1937-11-28,4,1,0,0
Johnny Squires,1,1,1934-04-08,0,1,0,0
Bep Bakhuys,4,2,1934-04-29,2,2,0,0
Leen Vente,3,3,1934-05-27,2,1,0,0
Alfred Aston,1,1,1934-04-15,0,1,0,0
Jean Nicolas,7,3,1938-06-05,2,5,0,1
Théophile Speicher,1,1,1934-04-15,1,0,0,0
Ernest Liberati,1,1,1934-04-15,0,1,0,0
Johann Horvath,5,3,1934-06-07,5,0,0,0
Karl Zischek,2,2,1934-05-31,2,0,0,0
Rudolf Viertl,1,1,1934-04-25,1,0,0,0
Mihail Lozanov,1,1,1934-04-25,0,1,0,0
Matthias Sindelar,2,2,1934-05-27,2,0,0,0
Laurent Grimmonprez,1,1,1934-04-29,1,0,0,0
Bernard Voorhoof,4,3,1938-03-13,3,1,0,0
József Solti,2,1,1934-04-29,2,0,0,0
Vladimir Todorov,1,1,1934-04-29,0,1,0,0
Sándor Schwartz,1,1,1934-04-29,1,0,0,0
Aldo Donelli,5,2,1934-05-27,0,5,0,0
Ernesto Belis,1,1,1934-05-27,1,0,0,0
Sven Jonasson,4,3,1938-06-19,1,3,0,1
Alberto Galateo,1,1,1934-05-27,1,0,0,0
Anton Schall,1,1,1934-05-27,1,0,0,0
Josef Bican,1,1,1934-05-27,1,0,0,0
Georges Verriest,1,1,1934-05-27,0,1,0,1
Stanislaus Kobierski,1,1,1934-05-27,0,1,0,0
